county,state,total_exp,medical_care_exp,edu_training_exp,exp_per_vet,county_pop,vet_pop,med_patients,state_va_fac,hs_grad_pct,clg_grad_pct,median_income,poverty_pct,unemployment_pct,severe_housing_problems_pct,smokers_pct,obesity_pct,inactive_pct,excess_alcohol_pct,diabetes_pct,food_insecure_pct,age_under18_pct,age_over65_pct,rural_pct
chilton,al,33347.44873324243,11051.77273324243,691.899,11.80545752365501,44428,2824.7485255376996,852.0,24,81.80943870544434,13.620534896850586,52693.0,13.9,2.9,14.639236732,23.432042227,41.9,33.3,14.503204658,19.0,15.8,23.838570271,17.106329342,86.74472424
choctaw,al,10601.509556307607,3018.6825563076054,274.502,13.771031872027955,12589,769.8413346817999,285.0,24,82.6945915222168,13.516139030456543,41649.0,20.4,4.4,11.436413541,23.289764357,47.2,33.7,13.530109679,17.9,20.7,19.699737866,23.584081341,100.0
clarke,al,18181.81323933875,5495.652239338751,450.737,12.442263671938003,23622,1461.2946420951998,501.0,24,82.61390113830566,13.787941932678223,44178.0,19.5,6.0,12.8125,24.336501142,36.1,40.5,13.80604087,24.8,21.1,21.306409279,20.502074337,75.98033523
clay,al,9852.74068829847,2741.0926882984704,218.354,10.462546274827675,13235,941.715374966,305.0,24,81.26133728027344,11.781026840209961,44763.0,14.2,2.7,9.5505617978,25.230843336,37.3,33.8,15.559048785,16.2,15.9,20.166225916,21.042689838,100.0
cleburne,al,7499.256564193082,2956.0575641930827,143.862,8.86741575384563,14910,845.7093670093,270.0,24,82.18827056884766,16.018218994140625,50134.0,14.2,2.6,12.727272727,24.088050258,34.0,26.0,15.672496762,13.9,17.5,22.541918176,20.174379611,100.0
coffee,al,111615.84637344415,15669.264373444143,8152.636,16.649329330746585,52342,6703.9244738418,2119.0,24,85.6467056274414,21.727516174316406,54203.0,13.9,2.8,10.626911315,21.383378454,36.7,31.6,15.728800993,15.9,15.6,23.678881204,17.253830576,47.195082886
colbert,al,42801.006244075,11790.663244075002,1181.028,11.150762179816745,55241,3838.3928877567005,1308.0,24,85.69491004943848,17.370832443237305,54185.0,14.4,4.0,13.577439163,22.041454603,37.0,35.0,15.664209626,16.7,16.4,20.917434514,20.030412194,43.894686558
conecuh,al,12772.417889822484,3921.3208898224843,424.016,15.399613263648888,12067,829.3986135334999,344.0,24,84.95354652404785,13.834126472473145,34664.0,22.9,4.8,13.467656416,25.840455606,42.1,42.6,12.831658255,24.0,19.5,20.502196072,23.468964946,80.949501058
coosa,al,10937.899973415304,3142.0749734153037,189.867,12.642495586300068,10663,865.1693725144002,337.0,24,83.16628456115723,11.556574821472168,46509.0,17.4,3.1,12.960760999,24.60221405,44.8,35.8,14.329662393,25.6,16.4,16.383756916,24.083278627,100.0
covington,al,32381.62932771757,9570.250327717564,892.258,10.358330656822059,37049,3126.1436229969,865.0,24,85.3447618484497,15.61480712890625,43544.0,17.1,3.0,12.037945698,23.424990112,35.8,36.5,15.033658021,16.7,17.7,22.030284218,21.377095198,69.651793989
crenshaw,al,12386.338835339096,3550.207835339095,457.091,12.242430660924404,13772,1011.75486947,297.0,24,78.82073593139648,18.504749298095703,45927.0,16.8,3.3,9.7947761194,23.101701874,35.3,34.4,14.261051339,19.8,16.6,22.770839384,19.394423468,100.0
cullman,al,53351.34659803557,19388.94959803556,1983.444,8.428740881793159,83768,6329.693526737699,1576.0,24,82.26361846923828,15.415604591369629,51844.0,12.5,2.4,12.413571314,22.625123931,35.7,34.1,15.389936064,15.4,15.1,22.457262917,18.784022538,73.239559237
dale,al,81124.58353426961,16098.34153426961,3780.674,12.406745466641896,49172,6538.748115078999,1906.0,24,85.3141222000122,18.217885971069336,48493.0,15.5,3.1,13.386454183,21.493210399,41.8,31.7,15.516097584,15.6,18.0,22.752786138,17.290327829,50.888539532
dallas,al,34206.12114070861,12728.038140708608,693.038,14.016656582016436,37196,2440.3908978262,957.0,24,83.94830322265625,16.645191192626953,37679.0,26.7,7.4,19.441916894,24.919678839,42.2,32.9,11.851833565,17.2,22.7,23.322400258,18.875685558,45.638977636
elmore,al,117385.46887513247,31220.07687513246,5617.409,15.956954238772006,81209,7356.3831241623,2658.0,24,87.26360988616943,25.815338134765625,62524.0,11.5,2.7,11.162630946,19.310227625,34.8,24.5,14.65677689,15.1,14.3,22.323880358,15.585710943,54.18836614
escambia,al,24834.217195914658,6759.47219591466,531.094,10.29887577636455,36633,2411.3522422426004,744.0,24,80.35248756408691,12.500486373901367,41212.0,20.4,4.1,11.190926276,25.433022539,36.5,33.5,14.57429161,18.9,19.4,22.455163377,18.264952365,63.511573893
etowah,al,85454.67406668767,30472.367066687675,1889.65,11.892389013047266,102268,7185.660843497,2570.0,24,85.32858657836914,17.696847915649414,47872.0,15.6,4.1,10.61187916,23.134361746,36.2,33.6,14.999518383,17.3,16.6,21.293073102,19.356983612,37.483481758
fayette,al,13240.365227360526,5264.011227360527,289.645,10.605652463501743,16302,1248.4253347850001,476.0,24,84.19460773468018,12.28828239440918,45937.0,16.5,3.1,11.646297628,24.326008398,37.6,30.0,14.819335959,19.6,18.3,21.058765796,21.745798062,80.23316513
franklin,al,15245.161020366335,4842.167020366334,509.03,12.20234947693156,31362,1249.3627599494002,390.0,24,78.67685508728027,15.04911994934082,40448.0,17.2,2.5,11.270047681,22.693219664,36.6,36.9,14.876566173,14.4,15.7,24.781582807,17.135386774,70.366515266
geneva,al,32137.154693550387,6627.522693550387,1052.658,14.025900490067446,26271,2291.2721159193,792.0,24,81.81185722351074,13.08326244354248,39882.0,21.0,2.8,10.238429173,25.201688227,41.3,40.8,15.353316032,19.3,19.0,21.95196224,20.631114156,89.641657335
greene,al,8166.130932978957,3496.1889329789574,108.718,19.77058961124296,8111,413.04438024120003,233.0,24,80.92926406860352,10.124826431274414,33609.0,27.9,6.9,19.008264463,26.785551127,38.0,23.7,10.440404247,21.8,26.1,21.797558871,23.301689064,100.0
